ID,SMILES,group,with_3F,racemic_trans,mixture_isomer,trans,Kd,IC50,erk_IC50
US_68,COCCCOc1nc(N2CC3CCC(C2)N3)c2cnc(c(F)c2n1)-c1cc(O)cc2ccccc12,US,0,0,0,0,292.8,256.6,7530.9
US_69,OCCOc1nc(N2CC3CCC(C2)N3)c2cnc(c(F)c2n1)-c1cc(O)cc2ccccc12,US,0,0,0,0,521.6,529.9,16666.7
US_70,COCCOc1nc(N2CC3CCC(C2)N3)c2cnc(c(F)c2n1)-c1cc(O)cc2ccccc12,US,0,0,0,0,416.7,356.2,
US_71,Oc1cc(-c2ncc3c(nc(OC4CCS(=O)(=O)CC4)nc3c2F)N2CC3CCC(C2)N3)c2ccccc2c1,US,0,0,0,0,137.6,125.7,16666.7
US_72,Oc1cc(-c2ncc3c(nc(OC4CCOCC4)nc3c2F)N2CC3CCC(C2)N3)c2ccccc2c1,US,0,0,0,0,507.2,512.9,7260.8
US_73,Oc1cc(-c2ncc3c(nc(OCC4CCCC4)nc3c2F)N2CC3CCC(C2)N3)c2ccccc2c1,US,0,0,0,0,666744.3,572.7,5555.6
US_74,Oc1cc(-c2ncc3c(nc(nc3c2F)N2CC3(C2)CCOCC3)N2CC3CCC(C2)N3)c2ccccc2c1,US,0,0,0,0,140.6,188.2,5465.1
US_75,OCCCOc1nc(N2CC3CCC(C2)N3)c2cnc(c(F)c2n1)-c1cc(O)cc2ccccc12,US,0,0,0,0,303.7,240.4,16666.7
US_76,Oc1cc(-c2ncc3c(nc(nc3c2F)N2CC3(C2)CCOC3)N2CC3CCC(C2)N3)c2ccccc2c1,US,0,0,0,0,196.9,131.2,7412.9
US_77,OC[C@@H]1CCCN1c1nc(N2CC3CCC(C2)N3)c2cnc(c(F)c2n1)-c1cc(O)cc2ccccc12,US,0,0,0,0,3065.8,3137.6,
US_78,CC(=O)N1CCC(CC1)Oc1nc(N2CC3CCC(C2)N3)c2cnc(c(F)c2n1)-c1cc(O)cc2ccccc12,US,0,0,0,0,367.5,358.3,16666.7
US_79,Oc1cc(-c2ncc3c(nc(OC4CCSCC4)nc3c2F)N2CC3CCC(C2)N3)c2ccccc2c1,US,0,0,0,0,1000000,336.5,
US_80,Oc1cc(-c2ncc3c(nc(OC4CCC(F)(F)CC4)nc3c2F)N2CC3CCC(C2)N3)c2ccccc2c1,US,0,0,0,0,500000,646.9,
